年度,期作,縣市,鄉鎮,作物代碼,作物,種植面積,收穫面積,稻穀總產量,稻穀單位產量,糙米總產量,糙米單位產量
113,一期作,台中市,潭子區,C01 ,稉稻,283.05,283.05,1945120,6872,1531587,5411
113,二期作,台中市,潭子區,C01 ,稉稻,154.47,154.47,852211,5517,661145,4280
113,一期作,台中市,東勢區,C01 ,稉稻,2.38,2.38,15841,6656,12503,5254
113,二期作,台中市,東勢區,C01 ,稉稻,1.56,1.56,8653,5547,6344,4067
113,一期作,台南市,官田區,C01 ,稉稻,978.98,978.98,6995405,7146,5537498,5656
113,二期作,台南市,官田區,C01 ,稉稻,688.78,688.78,3058173,4440,2462776,3576
113,一期作,台南市,官田區,C02 ,硬秈稻,10,10,50930,5093,40051,4005
113,二期作,台南市,官田區,C02 ,硬秈稻,10,10,38820,3882,30303,3030
113,一期作,台南市,官田區,C04 ,稉糯稻,105,105,805560,7672,655404,6242
113,一期作,台南市,官田區,C05 ,秈糯稻,10,10,65850,6585,52153,5215
113,一期作,台南市,永康區,C03 ,軟秈稻,6.8,6.8,38529,5666,30199,4441
113,一期作,台南市,永康區,C05 ,秈糯稻,11.33,11.33,89614,7909,70239,6199
113,二期作,台南市,永康區,C05 ,秈糯稻,2.13,2.13,9968,4680,7775,3650
113,二期作,台南市,新化區,C01 ,稉稻,1.04,1.04,3751,3607,2926,2813
113,一期作,台南市,新化區,C03 ,軟秈稻,11.43,11.43,88983,7785,71080,6219
113,一期作,台南市,新化區,C05 ,秈糯稻,205,205,1658473,8090,1297003,6327
113,二期作,台南市,新化區,C05 ,秈糯稻,1.43,1.43,5158,3607,4023,2813
113,一期作,台南市,善化區,C01 ,稉稻,25,25,198225,7929,162148,6486
113,一期作,台南市,善化區,C05 ,秈糯稻,770.4,770.4,4133523,5365,3324909,4316
113,一期作,台南市,將軍區,C01 ,稉稻,217.07,217.07,1404009,6468,1024927,4722
113,一期作,台南市,西港區,C01 ,稉稻,406.73,406.73,2981384,7330,2472005,6078
113,二期作,台南市,西港區,C01 ,稉稻,1.94,1.94,9167,4725,7431,3830
113,一期作,台南市,西港區,C03 ,軟秈稻,3.14,3.14,23751,7564,19656,6260
113,一期作,台南市,西港區,C04 ,稉糯稻,0.53,0.53,3918,7392,3145,5933
113,一期作,台南市,七股區,C01 ,稉稻,4.85,4.85,36108,7445,29157,6012
113,二期作,台南市,七股區,C01 ,稉稻,0.6,0.6,3238,5396,2587,4310
113,一期作,台南市,安南區,C01 ,稉稻,0.3,0.3,2007,6690,1611,5371
113,二期作,台南市,安南區,C01 ,稉稻,14.15,14.15,66222,4680,52898,3738
113,一期作,台南市,佳里區,C01 ,稉稻,300.09,300.09,2219166,7395,1820160,6065
113,一期作,台南市,學甲區,C01 ,稉稻,1.63,1.63,13287,8152,10794,6623
113,二期作,台南市,學甲區,C01 ,稉稻,3.84,3.84,18417,4796,15124,3938
113,一期作,台南市,學甲區,C03 ,軟秈稻,0.3,0.3,1819,6064,1478,4927
113,一期作,台南市,安定區,C01 ,稉稻,3,3,16455,5485,13730,4577
113,一期作,台南市,安定區,C03 ,軟秈稻,12,12,64548,5379,50580,4215
113,一期作,台南市,安定區,C05 ,秈糯稻,13.69,13.69,92944,6789,75404,5508
113,一期作,台南市,山上區,C05 ,秈糯稻,2.38,2.38,14944,6279,11756,4940
113,一期作,台南市,新市區,C01 ,稉稻,3,3,14043,4681,11470,3823
113,一期作,台南市,新市區,C05 ,秈糯稻,177.43,177.43,1072506,6045,827454,4664
113,一期作,台南市,麻豆區,C01 ,稉稻,276.03,276.03,2055221,7446,1694458,6139
113,二期作,台南市,麻豆區,C01 ,稉稻,36.45,36.45,167306,4590,137592,3775
113,一期作,台南市,麻豆區,C04 ,稉糯稻,4.9,4.9,35192,7182,28632,5843
113,一期作,台南市,麻豆區,C05 ,秈糯稻,3.1,3.1,25042,8078,19833,6398
